BW06 US +42.766690 -109.558250 +2224.0 "BHE BHN BHZ BLE BLN BLZ HLE HLN HLZ LHE LHN LHZ" "Boulder Array Site 6 (Pinedale), Wyoming, USA" 1996,126,00:00:00 2599,365,23:59:59
CALB CI +34.140100 -118.628400  +276.0 "BHE BHN BHZ BLE BLN BLZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ LXZ UHE UHN UHZ UXZ VHE VHN VHZ VXZ" "Calabasas, California, USA" 1994,017,00:00:00 1997,207,00:00:00
CASY IU -66.279200 +110.536400  +159.0 "BCI BHE BHN BHZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ SHE SHN SHZ UHE UHN UHZ VE1 VHE VHN VHZ VK1 VKI VME VMN VMZ" "Casey, Antarctica" 1996,050,00:00:00 2599,365,23:59:59
CBKS US +38.814000 -099.737390  +677.0 "BHE BHN BHZ HHE HHN HHZ LHE LHN LHZ" "Cedar Bluff, Kansas, USA" 1994,255,00:00:00 2599,365,23:59:59
CBM US +46.932500 -068.120830  +250.0 "BHE BHN BHZ BLE BLN BLZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ" "Caribou, Maine, USA" 1992,307,00:00:00 1994,341,00:00:00
CCM IU +38.055700 -091.244600  +222.0 "BHE BHN BHZ EHE EHN EHZ LHE LHN LHZ LME LMN LMZ SHE SHN SHZ UHE UHN UHZ UME UMN UMZ VE1 VHE VHN VHZ VK1 VKI VME VMN VMZ" "Cathedral Cave, Missouri, USA" 1989,209,00:00:00 1996,159,21:00:00
CCM IU +38.055700 -091.244600  +222.0 "BHE BHN BHZ EHE EHN EHZ LHE LHN LHZ LME LMN LMZ SHE SHN SHZ UHE UHN UHZ UME UMN UMZ VE1 VHE VHN VHZ VK1 VKI VME VMN VMZ" "Cathedral Cave, Missouri, USA" 1996,159,21:00:00 2599,365,23:59:59
CEH US +35.890840 -079.092780  +152.0 "BHE BHN BHZ BLE BLN BLZ HLE HLN HLZ LHE LHN LHZ" "Chapel Hill, North Carolina, USA" 1991,088,00:00:00 2599,365,23:59:59
CHF CI +34.333400 -118.025900 +1567.0 "BHE BHN BHZ LHE LHN LHZ LLE LLN LLZ VHE VHN VHZ" "Chilao Flats, California, USA" 1999,029,00:00:00 2599,365,23:59:59
CHTO IU +18.790000 +098.976900  +316.0 "BC0 BCE BCI BCN BCZ BHE BHN BHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ SHE SHN SHZ UHE UHN UHZ VE1 VHE VHN VHZ VK1" "Chiang Mai, Thailand" 1992,244,00:00:00 1997,290,04:15:00
CHTO IU +18.790000 +098.976900  +316.0 "BC0 BCE BCI BCN BCZ BHE BHN BHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ SHE SHN SHZ UHE UHN UHZ VE1 VHE VHN VHZ VK1" "Chiang Mai, Thailand" 1997,290,04:15:00 2599,365,23:59:59
CIA CI +33.402000 -118.415200  +428.0 "BHE BHN BHZ LHE LHN LHZ LLE LLN LLZ VHE VHN VHZ" "Catalina Island Airport, California, USA" 1998,267,00:00:00 2599,365,23:59:59
CIU CI +33.445800 -118.483000  +233.0 "BHE BHN BHZ LHE LHN LHZ LLE LLN LLZ UHE UHN UHZ VHE VHN VHZ" "Catalina Island, California, USA" 1997,183,00:00:00 1998,266,00:00:00
CMB BK +38.035000 -120.385000  +719.0 "BHE BHN BHZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ MHE MHN MHZ SHZ UHE UHN UHZ VHE VHN VHZ" "Columbia College, California, USA" 1992,177,00:00:00 2599,365,23:59:59
COL IU +64.900000 -147.793300  +320.0 "BHE BHN BHZ EHZ ELE ELN ELZ HHE HHN HHZ LHE LHN LHZ MHE MHN MHZ SCI SH1 SHE SHN SHU SHZ UCI UHE UHN UHZ VE1 VHE VHN VHZ VK1" "College Outpost, Alaska, USA" 1991,067,00:00:00 1996,132,00:00:00
COL IU +64.900000 -147.793300  +320.0 "BHE BHN BHZ EHZ ELE ELN ELZ HHE HHN HHZ LHE LHN LHZ MHE MHN MHZ SCI SH1 SHE SHN SHU SHZ UCI UHE UHN UHZ VE1 VHE VHN VHZ VK1" "College Outpost, Alaska, USA" 1997,234,00:00:00 1997,303,00:00:00
COLA IU +64.873800 -147.851100  +194.0 "BC0 BC1 BCI BH1 BH2 BHE BHN BHZ HHE HHN HHZ HLE HLN HLZ LH1 LH2 LHE LHN LHZ LLE LLN LLZ SCI SHE SHN SHZ UH1 UH2 UHZ VE1 VH1 VH2 VHZ VK1" "College Outpost, Alaska, USA" 1996,166,00:00:00 2599,365,23:59:59
COR IU +44.585700 -123.303200  +121.0 "BC0 BCE BCN BCZ BHE BHN BHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ UE1 UHE UHN UHZ UME UMN UMZ VE1 VHE VHN VHZ VK1 VKI VME VMN VMZ" "Corvallis, Oregon, USA" 1989,299,00:00:00 1995,133,00:00:00
COR IU +44.585700 -123.303200  +121.0 "BC0 BCE BCN BCZ BHE BHN BHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ UE1 UHE UHN UHZ UME UMN UMZ VE1 VHE VHN VHZ VK1 VKI VME VMN VMZ" "Corvallis, Oregon, USA" 1995,133,00:00:00 2599,365,23:59:59
CTAO IU -20.088200 +146.254500  +357.0 "BC0 BHE BHN BHZ ELE ELN ELZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ SHE SHN SHZ UCE UCI UCN UCZ UHE UHN UHZ VE1 VHE VHN VHZ VK1 VME VMN VMZ" "Charters Towers, Australia" 1991,168,00:00:00 1998,279,21:00:00
CTAO IU -20.088200 +146.254500  +357.0 "BC0 BHE BHN BHZ ELE ELN ELZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ SHE SHN SHZ UCE UCI UCN UCZ UHE UHN UHZ VE1 VHE VHN VHZ VK1 VME VMN VMZ" "Charters Towers, Australia" 1998,279,21:00:00 2599,365,23:59:59
CWC CI +36.439900 -118.080200 +1553.0 "BHE BHN BHZ BLE BLN BLZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ UHE UHN UHZ VHE VHN VHZ" "Cottonwood Creek, California, USA" 1995,079,00:00:00 2599,365,23:59:59
DAC LB +36.277000 -117.593700 +1813.0 "BHE BHN BHZ LHE LHN LHZ" "Darwin, Inyo County, California, USA" 1996,358,00:00:00 2599,365,23:59:59
DAN CI +34.637100 -115.380500  +398.0 "BHE BHN BHZ LHE LHN LHZ LLE LLN LLZ VHE VHN VHZ" "Danby, California, USA" 1998,265,00:00:00 2599,365,23:59:59
